Sexo;Ciclo;Nivel de formación más apropiado para realizar su trabajo;Total
Ambos sexos;TS en paisajismo y medio rural y TS Gestión y organización de empresas agropecuarias;No consta;5
Ambos sexos;02 - MARÍTIMO-PESQUERA;Total trabajando;541
Ambos sexos;02 - MARÍTIMO-PESQUERA;Título universitario;66
Ambos sexos;02 - MARÍTIMO-PESQUERA;Formación profesional de grado superior;350
Ambos sexos;02 - MARÍTIMO-PESQUERA;Formación profesional de grado medio / bachillerato;60
Ambos sexos;02 - MARÍTIMO-PESQUERA;Formación profesional básica;12
Ambos sexos;02 - MARÍTIMO-PESQUERA;ESO, EGB, etc ...;48
Ambos sexos;02 - MARÍTIMO-PESQUERA;No consta;5
Ambos sexos;03 - INDUSTRIAS ALIMENTARIAS;Total trabajando;431
Ambos sexos;03 - INDUSTRIAS ALIMENTARIAS;Título universitario;60
Ambos sexos;03 - INDUSTRIAS ALIMENTARIAS;Formación profesional de grado superior;233
Ambos sexos;03 - INDUSTRIAS ALIMENTARIAS;Formación profesional de grado medio / bachillerato;69
Ambos sexos;03 - INDUSTRIAS ALIMENTARIAS;Formación profesional básica;17
Ambos sexos;03 - INDUSTRIAS ALIMENTARIAS;ESO, EGB, etc ...;44
Ambos sexos;03 - INDUSTRIAS ALIMENTARIAS;No consta;8
Ambos sexos;04 - QUÍMICA;Total trabajando;1.370
Ambos sexos;04 - QUÍMICA;Título universitario;215
Ambos sexos;04 - QUÍMICA;Formación profesional de grado superior;882
Ambos sexos;04 - QUÍMICA;Formación profesional de grado medio / bachillerato;123
Ambos sexos;04 - QUÍMICA;Formación profesional básica;66
Ambos sexos;04 - QUÍMICA;ESO, EGB, etc ...;63
Ambos sexos;04 - QUÍMICA;No consta;22
Ambos sexos;Técnico superior en laboratorio de análisis y de control de calidad;Total trabajando;922
Ambos sexos;Técnico superior en laboratorio de análisis y de control de calidad;Título universitario;183
Ambos sexos;Técnico superior en laboratorio de análisis y de control de calidad;Formación profesional de grado superior;542
Ambos sexos;Técnico superior en laboratorio de análisis y de control de calidad;Formación profesional de grado medio / bachillerato;101
Ambos sexos;Técnico superior en laboratorio de análisis y de control de calidad;Formación profesional básica;34
Ambos sexos;Técnico superior en laboratorio de análisis y de control de calidad;ESO, EGB, etc ...;56
Ambos sexos;Técnico superior en laboratorio de análisis y de control de calidad;No consta;7
Ambos sexos;Técnico superior en química industrial Fabricación de Productos Farmaceuticos e Industrias de proceso de pasta y papel;Total trabajando;448
Ambos sexos;Técnico superior en química industrial Fabricación de Productos Farmaceuticos e Industrias de proceso de pasta y papel;Título universitario;32
Ambos sexos;Técnico superior en química industrial Fabricación de Productos Farmaceuticos e Industrias de proceso de pasta y papel;Formación profesional de grado superior;339
Ambos sexos;Técnico superior en química industrial Fabricación de Productos Farmaceuticos e Industrias de proceso de pasta y papel;Formación profesional de grado medio / bachillerato;23
Ambos sexos;Técnico superior en química industrial Fabricación de Productos Farmaceuticos e Industrias de proceso de pasta y papel;Formación profesional básica;32
Ambos sexos;Técnico superior en química industrial Fabricación de Productos Farmaceuticos e Industrias de proceso de pasta y papel;ESO, EGB, etc ...;7
Ambos sexos;Técnico superior en química industrial Fabricación de Productos Farmaceuticos e Industrias de proceso de pasta y papel;No consta;15
Ambos sexos;05 - IMAGEN PERSONAL;Total trabajando;1.746
Ambos sexos;05 - IMAGEN PERSONAL;Título universitario;207
Ambos sexos;05 - IMAGEN PERSONAL;Formación profesional de grado superior;928
Ambos sexos;05 - IMAGEN PERSONAL;Formación profesional de grado medio / bachillerato;220
Ambos sexos;05 - IMAGEN PERSONAL;Formación profesional básica;87
Ambos sexos;05 - IMAGEN PERSONAL;ESO, EGB, etc ...;283
Ambos sexos;05 - IMAGEN PERSONAL;No consta;21
Ambos sexos;Técnico superior en estética integral y bienestar;Total trabajando;1.079
Ambos sexos;Técnico superior en estética integral y bienestar;Título universitario;93
Ambos sexos;Técnico superior en estética integral y bienestar;Formación profesional de grado superior;597
Ambos sexos;Técnico superior en estética integral y bienestar;Formación profesional de grado medio / bachillerato;133
Ambos sexos;Técnico superior en estética integral y bienestar;Formación profesional básica;45
Ambos sexos;Técnico superior en estética integral y bienestar;ESO, EGB, etc ...;197
Ambos sexos;Técnico superior en estética integral y bienestar;No consta;15
Ambos sexos;TS en estilismo y dirección de peluquería y TS en asesoría de imagen personal y corporativa;Total trabajando;667
Ambos sexos;TS en estilismo y dirección de peluquería y TS en asesoría de imagen personal y corporativa;Título universitario;114
Ambos sexos;TS en estilismo y dirección de peluquería y TS en asesoría de imagen personal y corporativa;Formación profesional de grado superior;331
Ambos sexos;TS en estilismo y dirección de peluquería y TS en asesoría de imagen personal y corporativa;Formación profesional de grado medio / bachillerato;87
Ambos sexos;TS en estilismo y dirección de peluquería y TS en asesoría de imagen personal y corporativa;Formación profesional básica;42
Ambos sexos;TS en estilismo y dirección de peluquería y TS en asesoría de imagen personal y corporativa;ESO, EGB, etc ...;86
Ambos sexos;TS en estilismo y dirección de peluquería y TS en asesoría de imagen personal y corporativa;No consta;6
Ambos sexos;06 - SANIDAD;Total trabajando;11.408
Ambos sexos;06 - SANIDAD;Título universitario;4.242
Ambos sexos;06 - SANIDAD;Formación profesional de grado superior;4.160
Ambos sexos;06 - SANIDAD;Formación profesional de grado medio / bachillerato;1.268
Ambos sexos;06 - SANIDAD;Formación profesional básica;508
Ambos sexos;06 - SANIDAD;ESO, EGB, etc ...;1.050
Ambos sexos;06 - SANIDAD;No consta;180
Ambos sexos;Técnico superior en audiología protésica;Total trabajando;508
Ambos sexos;Técnico superior en audiología protésica;Título universitario;185
Ambos sexos;Técnico superior en audiología protésica;Formación profesional de grado superior;265
Ambos sexos;Técnico superior en audiología protésica;Formación profesional de grado medio / bachillerato;17
Ambos sexos;Técnico superior en audiología protésica;Formación profesional básica;10
Ambos sexos;Técnico superior en audiología protésica;ESO, EGB, etc ...;5
Ambos sexos;Técnico superior en audiología protésica;No consta;25
Ambos sexos;Técnico superior en prótesis dentales Higiene bucodental;Total trabajando;2.916
Ambos sexos;Técnico superior en prótesis dentales Higiene bucodental;Título universitario;683
Ambos sexos;Técnico superior en prótesis dentales Higiene bucodental;Formación profesional de grado superior;1.789
Ambos sexos;Técnico superior en prótesis dentales Higiene bucodental;Formación profesional de grado medio / bachillerato;204
Ambos sexos;Técnico superior en prótesis dentales Higiene bucodental;Formación profesional básica;27
Ambos sexos;Técnico superior en prótesis dentales Higiene bucodental;ESO, EGB, etc ...;148
Ambos sexos;Técnico superior en prótesis dentales Higiene bucodental;No consta;64
Ambos sexos;Imagen para el diagnóstico y medicina nuclear Radioterapia y dosimetría;Total trabajando;2.445
Ambos sexos;Imagen para el diagnóstico y medicina nuclear Radioterapia y dosimetría;Título universitario;1.016
Ambos sexos;Imagen para el diagnóstico y medicina nuclear Radioterapia y dosimetría;Formación profesional de grado superior;817
Ambos sexos;Imagen para el diagnóstico y medicina nuclear Radioterapia y dosimetría;Formación profesional de grado medio / bachillerato;187
Ambos sexos;Imagen para el diagnóstico y medicina nuclear Radioterapia y dosimetría;Formación profesional básica;134
Ambos sexos;Imagen para el diagnóstico y medicina nuclear Radioterapia y dosimetría;ESO, EGB, etc ...;288
Ambos sexos;Imagen para el diagnóstico y medicina nuclear Radioterapia y dosimetría;No consta;4
Ambos sexos;Otros ciclos de Sanidad;Total trabajando;5.539
Ambos sexos;Otros ciclos de Sanidad;Título universitario;2.359
Ambos sexos;Otros ciclos de Sanidad;Formación profesional de grado superior;1.289
Ambos sexos;Otros ciclos de Sanidad;Formación profesional de grado medio / bachillerato;859
Ambos sexos;Otros ciclos de Sanidad;Formación profesional básica;337
Ambos sexos;Otros ciclos de Sanidad;ESO, EGB, etc ...;610
Ambos sexos;Otros ciclos de Sanidad;No consta;86
Ambos sexos;07 - SEGURIDAD Y MEDIO AMBIENTE;Total trabajando;2.157
Ambos sexos;07 - SEGURIDAD Y MEDIO AMBIENTE;Título universitario;388
Ambos sexos;07 - SEGURIDAD Y MEDIO AMBIENTE;Formación profesional de grado superior;1.047
Ambos sexos;07 - SEGURIDAD Y MEDIO AMBIENTE;Formación profesional de grado medio / bachillerato;253
Ambos sexos;07 - SEGURIDAD Y MEDIO AMBIENTE;Formación profesional básica;118
Ambos sexos;07 - SEGURIDAD Y MEDIO AMBIENTE;ESO, EGB, etc ...;341
Ambos sexos;07 - SEGURIDAD Y MEDIO AMBIENTE;No consta;11
Ambos sexos;08 - FABRICACIÓN MECÁNICA;Total trabajando;2.294
Ambos sexos;08 - FABRICACIÓN MECÁNICA;Título universitario;395
Ambos sexos;08 - FABRICACIÓN MECÁNICA;Formación profesional de grado superior;1.483
Ambos sexos;08 - FABRICACIÓN MECÁNICA;Formación profesional de grado medio / bachillerato;191
Ambos sexos;08 - FABRICACIÓN MECÁNICA;Formación profesional básica;67
Ambos sexos;08 - FABRICACIÓN MECÁNICA;ESO, EGB, etc ...;62
Ambos sexos;08 - FABRICACIÓN MECÁNICA;No consta;95
Ambos sexos;Técnico superior en programación de la producción en fabricación mecánica;Total trabajando;1.071
Ambos sexos;Técnico superior en programación de la producción en fabricación mecánica;Título universitario;73
Ambos sexos;Técnico superior en programación de la producción en fabricación mecánica;Formación profesional de grado superior;758
Ambos sexos;Técnico superior en programación de la producción en fabricación mecánica;Formación profesional de grado medio / bachillerato;118
Ambos sexos;Técnico superior en programación de la producción en fabricación mecánica;Formación profesional básica;19
Ambos sexos;Técnico superior en programación de la producción en fabricación mecánica;ESO, EGB, etc ...;36
Ambos sexos;Técnico superior en programación de la producción en fabricación mecánica;No consta;67
Ambos sexos;TS en construcciones metálicas TS en diseño en fabricación mecánica Programación de la producción en moldeo de metales y polímeros y Óptica de anteojería;Total trabajando;1.223
Ambos sexos;TS en construcciones metálicas TS en diseño en fabricación mecánica Programación de la producción en moldeo de metales y polímeros y Óptica de anteojería;Título universitario;322
Ambos sexos;TS en construcciones metálicas TS en diseño en fabricación mecánica Programación de la producción en moldeo de metales y polímeros y Óptica de anteojería;Formación profesional de grado superior;725
Ambos sexos;TS en construcciones metálicas TS en diseño en fabricación mecánica Programación de la producción en moldeo de metales y polímeros y Óptica de anteojería;Formación profesional de grado medio / bachillerato;74
Ambos sexos;TS en construcciones metálicas TS en diseño en fabricación mecánica Programación de la producción en moldeo de metales y polímeros y Óptica de anteojería;Formación profesional básica;48
Ambos sexos;TS en construcciones metálicas TS en diseño en fabricación mecánica Programación de la producción en moldeo de metales y polímeros y Óptica de anteojería;ESO, EGB, etc ...;26
Ambos sexos;TS en construcciones metálicas TS en diseño en fabricación mecánica Programación de la producción en moldeo de metales y polímeros y Óptica de anteojería;No consta;28
Ambos sexos;09 - INSTALACIÓN Y MANTENIMIENTO;Total trabajando;2.275
Ambos sexos;09 - INSTALACIÓN Y MANTENIMIENTO;Título universitario;179
Ambos sexos;09 - INSTALACIÓN Y MANTENIMIENTO;Formación profesional de grado superior;1.573
Ambos sexos;09 - INSTALACIÓN Y MANTENIMIENTO;Formación profesional de grado medio / bachillerato;205
Ambos sexos;09 - INSTALACIÓN Y MANTENIMIENTO;Formación profesional básica;38
Ambos sexos;09 - INSTALACIÓN Y MANTENIMIENTO;ESO, EGB, etc ...;241
Ambos sexos;09 - INSTALACIÓN Y MANTENIMIENTO;No consta;40
Ambos sexos;Técnico superior en mecatrónica industrial;Total trabajando;1.680
Ambos sexos;Técnico superior en mecatrónica industrial;Título universitario;127
Ambos sexos;Técnico superior en mecatrónica industrial;Formación profesional de grado superior;1.242
Ambos sexos;Técnico superior en mecatrónica industrial;Formación profesional de grado medio / bachillerato;82
Ambos sexos;Técnico superior en mecatrónica industrial;Formación profesional básica;38
Ambos sexos;Técnico superior en mecatrónica industrial;ESO, EGB, etc ...;171
Ambos sexos;Técnico superior en mecatrónica industrial;No consta;19
Ambos sexos;TS en desarrollo de proyectos de instalaciones térmicas y de fluidos y TS en mantenimiento de instalaciones térmicas y de fluidos;Total trabajando;595
Ambos sexos;TS en desarrollo de proyectos de instalaciones térmicas y de fluidos y TS en mantenimiento de instalaciones térmicas y de fluidos;Título universitario;51
Ambos sexos;TS en desarrollo de proyectos de instalaciones térmicas y de fluidos y TS en mantenimiento de instalaciones térmicas y de fluidos;Formación profesional de grado superior;330
Ambos sexos;TS en desarrollo de proyectos de instalaciones térmicas y de fluidos y TS en mantenimiento de instalaciones térmicas y de fluidos;Formación profesional de grado medio / bachillerato;124
Ambos sexos;TS en desarrollo de proyectos de instalaciones térmicas y de fluidos y TS en mantenimiento de instalaciones térmicas y de fluidos;Formación profesional básica;0
Ambos sexos;TS en desarrollo de proyectos de instalaciones térmicas y de fluidos y TS en mantenimiento de instalaciones térmicas y de fluidos;ESO, EGB, etc ...;70
Ambos sexos;TS en desarrollo de proyectos de instalaciones térmicas y de fluidos y TS en mantenimiento de instalaciones térmicas y de fluidos;No consta;20
Ambos sexos;10 - ELECTRICIDAD Y ELECTRÓNICA;Total trabajando;6.907
Ambos sexos;10 - ELECTRICIDAD Y ELECTRÓNICA;Título universitario;622
Ambos sexos;10 - ELECTRICIDAD Y ELECTRÓNICA;Formación profesional de grado superior;4.469
Ambos sexos;10 - ELECTRICIDAD Y ELECTRÓNICA;Formación profesional de grado medio / bachillerato;923
Ambos sexos;10 - ELECTRICIDAD Y ELECTRÓNICA;Formación profesional básica;215
Ambos sexos;10 - ELECTRICIDAD Y ELECTRÓNICA;ESO, EGB, etc ...;511
Ambos sexos;10 - ELECTRICIDAD Y ELECTRÓNICA;No consta;167
Ambos sexos;Técnico superior en sistemas electrotécnicos y automatizados;Total trabajando;2.271
Ambos sexos;Técnico superior en sistemas electrotécnicos y automatizados;Título universitario;191
Ambos sexos;Técnico superior en sistemas electrotécnicos y automatizados;Formación profesional de grado superior;1.509
Ambos sexos;Técnico superior en sistemas electrotécnicos y automatizados;Formación profesional de grado medio / bachillerato;366
Ambos sexos;Técnico superior en sistemas electrotécnicos y automatizados;Formación profesional básica;58
Ambos sexos;Técnico superior en sistemas electrotécnicos y automatizados;ESO, EGB, etc ...;114
Ambos sexos;Técnico superior en sistemas electrotécnicos y automatizados;No consta;33
Ambos sexos;Técnico superior en sistemas de telecomunicaciones e informáticos;Total trabajando;1.940
Ambos sexos;Técnico superior en sistemas de telecomunicaciones e informáticos;Título universitario;156
Ambos sexos;Técnico superior en sistemas de telecomunicaciones e informáticos;Formación profesional de grado superior;1.165
Ambos sexos;Técnico superior en sistemas de telecomunicaciones e informáticos;Formación profesional de grado medio / bachillerato;176
Ambos sexos;Técnico superior en sistemas de telecomunicaciones e informáticos;Formación profesional básica;120
Ambos sexos;Técnico superior en sistemas de telecomunicaciones e informáticos;ESO, EGB, etc ...;259
Ambos sexos;Técnico superior en sistemas de telecomunicaciones e informáticos;No consta;63
Ambos sexos;Técnico superior en mantenimiento electrónico;Total trabajando;1.089
Ambos sexos;Técnico superior en mantenimiento electrónico;Título universitario;165
Ambos sexos;Técnico superior en mantenimiento electrónico;Formación profesional de grado superior;611
Ambos sexos;Técnico superior en mantenimiento electrónico;Formación profesional de grado medio / bachillerato;211
Ambos sexos;Técnico superior en mantenimiento electrónico;Formación profesional básica;16
Ambos sexos;Técnico superior en mantenimiento electrónico;ESO, EGB, etc ...;42
Ambos sexos;Técnico superior en mantenimiento electrónico;No consta;44
Ambos sexos;Técnico superior en automatización y robótica industrial;Total trabajando;1.606
Ambos sexos;Técnico superior en automatización y robótica industrial;Título universitario;109
Ambos sexos;Técnico superior en automatización y robótica industrial;Formación profesional de grado superior;1.183
Ambos sexos;Técnico superior en automatización y robótica industrial;Formación profesional de grado medio / bachillerato;170
Ambos sexos;Técnico superior en automatización y robótica industrial;Formación profesional básica;21
Ambos sexos;Técnico superior en automatización y robótica industrial;ESO, EGB, etc ...;95
Ambos sexos;Técnico superior en automatización y robótica industrial;No consta;27
Ambos sexos;11 - ENERGÍA Y AGUA;Total trabajando;629
Ambos sexos;11 - ENERGÍA Y AGUA;Título universitario;88
Ambos sexos;11 - ENERGÍA Y AGUA;Formación profesional de grado superior;366
Ambos sexos;11 - ENERGÍA Y AGUA;Formación profesional de grado medio / bachillerato;94
Ambos sexos;11 - ENERGÍA Y AGUA;Formación profesional básica;21
Ambos sexos;11 - ENERGÍA Y AGUA;ESO, EGB, etc ...;60
Ambos sexos;11 - ENERGÍA Y AGUA;No consta;0
Ambos sexos;12 - TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;Total trabajando;2.952
Ambos sexos;12 - TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;Título universitario;177
Ambos sexos;12 - TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;Formación profesional de grado superior;1.767
Ambos sexos;12 - TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;Formación profesional de grado medio / bachillerato;517
Ambos sexos;12 - TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;Formación profesional básica;130
Ambos sexos;12 - TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;ESO, EGB, etc ...;262
Ambos sexos;12 - TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;No consta;99
Ambos sexos;14 - EDIFICACIÓN Y OBRA CIVIL;Total trabajando;1.356
Ambos sexos;14 - EDIFICACIÓN Y OBRA CIVIL;Título universitario;251
Ambos sexos;14 - EDIFICACIÓN Y OBRA CIVIL;Formación profesional de grado superior;719
Ambos sexos;14 - EDIFICACIÓN Y OBRA CIVIL;Formación profesional de grado medio / bachillerato;114
Ambos sexos;14 - EDIFICACIÓN Y OBRA CIVIL;Formación profesional básica;107
Ambos sexos;14 - EDIFICACIÓN Y OBRA CIVIL;ESO, EGB, etc ...;141
Ambos sexos;14 - EDIFICACIÓN Y OBRA CIVIL;No consta;25
Ambos sexos;Técnico superior en proyectos de edificación;Total trabajando;771
Ambos sexos;Técnico superior en proyectos de edificación;Título universitario;128
Ambos sexos;Técnico superior en proyectos de edificación;Formación profesional de grado superior;405
Ambos sexos;Técnico superior en proyectos de edificación;Formación profesional de grado medio / bachillerato;67
Ambos sexos;Técnico superior en proyectos de edificación;Formación profesional básica;77
Ambos sexos;Técnico superior en proyectos de edificación;ESO, EGB, etc ...;88
Ambos sexos;Técnico superior en proyectos de edificación;No consta;6
Ambos sexos;Técnico superior en proyectos de obra civil Y Organización y control de obras de construcción;Total trabajando;586
Ambos sexos;Técnico superior en proyectos de obra civil Y Organización y control de obras de construcción;Título universitario;123
Ambos sexos;Técnico superior en proyectos de obra civil Y Organización y control de obras de construcción;Formación profesional de grado superior;314
Ambos sexos;Técnico superior en proyectos de obra civil Y Organización y control de obras de construcción;Formación profesional de grado medio / bachillerato;47
Ambos sexos;Técnico superior en proyectos de obra civil Y Organización y control de obras de construcción;Formación profesional básica;30
Ambos sexos;Técnico superior en proyectos de obra civil Y Organización y control de obras de construcción;ESO, EGB, etc ...;53
Ambos sexos;Técnico superior en proyectos de obra civil Y Organización y control de obras de construcción;No consta;19
Ambos sexos;18 - ARTES GRÁFICAS;Total trabajando;526
Ambos sexos;18 - ARTES GRÁFICAS;Título universitario;74
Ambos sexos;18 - ARTES GRÁFICAS;Formación profesional de grado superior;258
Ambos sexos;18 - ARTES GRÁFICAS;Formación profesional de grado medio / bachillerato;51
Ambos sexos;18 - ARTES GRÁFICAS;Formación profesional básica;44
Ambos sexos;18 - ARTES GRÁFICAS;ESO, EGB, etc ...;90
Ambos sexos;18 - ARTES GRÁFICAS;No consta;11
Ambos sexos;19 - IMAGEN Y SONIDO;Total trabajando;3.168
Ambos sexos;19 - IMAGEN Y SONIDO;Título universitario;513
Ambos sexos;19 - IMAGEN Y SONIDO;Formación profesional de grado superior;1.487
Ambos sexos;19 - IMAGEN Y SONIDO;Formación profesional de grado medio / bachillerato;292
Ambos sexos;19 - IMAGEN Y SONIDO;Formación profesional básica;150
Ambos sexos;19 - IMAGEN Y SONIDO;ESO, EGB, etc ...;620
Ambos sexos;19 - IMAGEN Y SONIDO;No consta;106
Ambos sexos;Técnico superior en sonido para audiovisuales y espectáculos;Total trabajando;619
Ambos sexos;Técnico superior en sonido para audiovisuales y espectáculos;Título universitario;80
Ambos sexos;Técnico superior en sonido para audiovisuales y espectáculos;Formación profesional de grado superior;349
Ambos sexos;Técnico superior en sonido para audiovisuales y espectáculos;Formación profesional de grado medio / bachillerato;46
Ambos sexos;Técnico superior en sonido para audiovisuales y espectáculos;Formación profesional básica;27
Ambos sexos;Técnico superior en sonido para audiovisuales y espectáculos;ESO, EGB, etc ...;115
Ambos sexos;Técnico superior en sonido para audiovisuales y espectáculos;No consta;2
Ambos sexos;Técnico superior en Producción de audiovisuales y espectáculos;Total trabajando;488
Ambos sexos;Técnico superior en Producción de audiovisuales y espectáculos;Título universitario;81
Ambos sexos;Técnico superior en Producción de audiovisuales y espectáculos;Formación profesional de grado superior;207
Ambos sexos;Técnico superior en Producción de audiovisuales y espectáculos;Formación profesional de grado medio / bachillerato;60
Ambos sexos;Técnico superior en Producción de audiovisuales y espectáculos;Formación profesional básica;31
Ambos sexos;Técnico superior en Producción de audiovisuales y espectáculos;ESO, EGB, etc ...;104
Ambos sexos;Técnico superior en Producción de audiovisuales y espectáculos;No consta;5
Ambos sexos;Técnico superior en realización de proyectos de audiovisuales y espectáculos;Total trabajando;920
Ambos sexos;Técnico superior en realización de proyectos de audiovisuales y espectáculos;Título universitario;171
Ambos sexos;Técnico superior en realización de proyectos de audiovisuales y espectáculos;Formación profesional de grado superior;434
Ambos sexos;Técnico superior en realización de proyectos de audiovisuales y espectáculos;Formación profesional de grado medio / bachillerato;60
Ambos sexos;Técnico superior en realización de proyectos de audiovisuales y espectáculos;Formación profesional básica;46
Ambos sexos;Técnico superior en realización de proyectos de audiovisuales y espectáculos;ESO, EGB, etc ...;156
Ambos sexos;Técnico superior en realización de proyectos de audiovisuales y espectáculos;No consta;52
Ambos sexos;TS en animaciones 3D, juegos y entornos interactivos y TS en iluminación, captación y tratamiento de Imagen;Total trabajando;1.141
Ambos sexos;TS en animaciones 3D, juegos y entornos interactivos y TS en iluminación, captación y tratamiento de Imagen;Título universitario;182
Ambos sexos;TS en animaciones 3D, juegos y entornos interactivos y TS en iluminación, captación y tratamiento de Imagen;Formación profesional de grado superior;496
Ambos sexos;TS en animaciones 3D, juegos y entornos interactivos y TS en iluminación, captación y tratamiento de Imagen;Formación profesional de grado medio / bachillerato;125
Ambos sexos;TS en animaciones 3D, juegos y entornos interactivos y TS en iluminación, captación y tratamiento de Imagen;Formación profesional básica;45
Ambos sexos;TS en animaciones 3D, juegos y entornos interactivos y TS en iluminación, captación y tratamiento de Imagen;ESO, EGB, etc ...;246
Ambos sexos;TS en animaciones 3D, juegos y entornos interactivos y TS en iluminación, captación y tratamiento de Imagen;No consta;47
Ambos sexos;20 - INFORMÁTICA Y COMUNICACIONES;Total trabajando;7.304
Ambos sexos;20 - INFORMÁTICA Y COMUNICACIONES;Título universitario;1.428
Ambos sexos;20 - INFORMÁTICA Y COMUNICACIONES;Formación profesional de grado superior;4.692
Ambos sexos;20 - INFORMÁTICA Y COMUNICACIONES;Formación profesional de grado medio / bachillerato;623
Ambos sexos;20 - INFORMÁTICA Y COMUNICACIONES;Formación profesional básica;112
Ambos sexos;20 - INFORMÁTICA Y COMUNICACIONES;ESO, EGB, etc ...;401
Ambos sexos;20 - INFORMÁTICA Y COMUNICACIONES;No consta;48
Ambos sexos;Técnico superior en administración de sistemas informáticos en red;Total trabajando;3.678
Ambos sexos;Técnico superior en administración de sistemas informáticos en red;Título universitario;435
Ambos sexos;Técnico superior en administración de sistemas informáticos en red;Formación profesional de grado superior;2.409
Ambos sexos;Técnico superior en administración de sistemas informáticos en red;Formación profesional de grado medio / bachillerato;441
Ambos sexos;Técnico superior en administración de sistemas informáticos en red;Formación profesional básica;74
Ambos sexos;Técnico superior en administración de sistemas informáticos en red;ESO, EGB, etc ...;270
Ambos sexos;Técnico superior en administración de sistemas informáticos en red;No consta;48
Ambos sexos;Técnico superior en desarrollo de aplicaciones multiplataforma;Total trabajando;2.073
Ambos sexos;Técnico superior en desarrollo de aplicaciones multiplataforma;Título universitario;613
Ambos sexos;Técnico superior en desarrollo de aplicaciones multiplataforma;Formación profesional de grado superior;1.259
Ambos sexos;Técnico superior en desarrollo de aplicaciones multiplataforma;Formación profesional de grado medio / bachillerato;79
Ambos sexos;Técnico superior en desarrollo de aplicaciones multiplataforma;Formación profesional básica;32
Ambos sexos;Técnico superior en desarrollo de aplicaciones multiplataforma;ESO, EGB, etc ...;90
Ambos sexos;Técnico superior en desarrollo de aplicaciones multiplataforma;No consta;0
Ambos sexos;Técnico superior en desarrollo de aplicaciones web;Total trabajando;1.553
Ambos sexos;Técnico superior en desarrollo de aplicaciones web;Título universitario;381
Ambos sexos;Técnico superior en desarrollo de aplicaciones web;Formación profesional de grado superior;1.024
Ambos sexos;Técnico superior en desarrollo de aplicaciones web;Formación profesional de grado medio / bachillerato;102
Ambos sexos;Técnico superior en desarrollo de aplicaciones web;Formación profesional básica;5
Ambos sexos;Técnico superior en desarrollo de aplicaciones web;ESO, EGB, etc ...;41
Ambos sexos;Técnico superior en desarrollo de aplicaciones web;No consta;0
Ambos sexos;21 - ADMINISTRACIÓN Y GESTIÓN;Total trabajando;13.708
Ambos sexos;21 - ADMINISTRACIÓN Y GESTIÓN;Título universitario;1.561
Ambos sexos;21 - ADMINISTRACIÓN Y GESTIÓN;Formación profesional de grado superior;8.164
Ambos sexos;21 - ADMINISTRACIÓN Y GESTIÓN;Formación profesional de grado medio / bachillerato;2.040
Ambos sexos;21 - ADMINISTRACIÓN Y GESTIÓN;Formación profesional básica;338
Ambos sexos;21 - ADMINISTRACIÓN Y GESTIÓN;ESO, EGB, etc ...;1.397
